time,tx_hash,tx_to,captured_timestamp,grace_period
2023-11-19 03:45:15.262975,0x1700fb457364f6e97561c49f532e6e768045282d8204cd05a9f7b4b23f8b6c68,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700376295.021202,20.2417733669281
2023-11-19 15:05:29.463230,0xf260ba84ff4ee6c79152a6ba1f58c07273e330155565e940c0b84409a96fc970,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700417119.6272604,9.835970163345337
2023-11-19 16:09:28.891381,0x5b3c54979404462a689b12ee6fe68417bc56ba339a453659446385bba5ae1722,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700420961.854564,7.0368170738220215
2023-11-19 16:53:40.560103,0x1e7ed17e1acdfe96dc11e4aca3e17ab5c9562b224b455d7669e379143b2aa8d0,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700423615.470868,5.089235544204712
2023-11-19 17:00:07.123150,0x90d3095f18e38f509ed79cea7bbfa021c5cd02886076cd81c608fed8eec00486,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700424000.337539,6.785611629486084
2023-11-19 17:00:17.615112,0x90d3095f18e38f509ed79cea7bbfa021c5cd02886076cd81c608fed8eec00486,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700424007.1231506,10.491962194442749
2023-11-19 17:48:20.016451,0x30f9f2d99e4539597ec502204041fe5b105334e2e260ef27e58d8417d9ca8980,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700426887.8304274,12.18602442741394
2023-11-19 18:08:19.380585,0xc0ff14ae0e0bc1e4f6399e8b55be2cb43db7fb857e1dee06b58d60038cea91f1,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700428092.576185,6.804400205612183
2023-11-19 18:08:32.133605,0xc0ff14ae0e0bc1e4f6399e8b55be2cb43db7fb857e1dee06b58d60038cea91f1,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700428099.3805852,12.753020286560059
2023-11-19 18:18:09.113939,0x20b1d1bb4c2ee4f29d842f3d76bc3fe4f92e8eafc114390495edc9e77a18fe28,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700428679.706394,9.407545328140259
2023-11-19 18:21:54.778897,0x342c087bf239a8e935414801c3bef4a441e0cd8271e8144b8dc20b47b32b7413,0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,1700428903.429365,11.349531888961792
